电台名称,状态,HTTP状态码,原因,内容类型,URL
台湾古典音乐台,reachable,200,MP3流,audio/mpeg,http://59.120.88.155:8000/live.mp3
CAPITAL 958,unreachable,,连接失败: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certific,,https://19183.live.streamtheworld.com/CAPITAL958FM_PREM.aac
988友声有色,forbidden,403,HTTP 403,,http://23023.live.streamtheworld.com/988_FMAAC.aac
MY,unreachable,,连接失败: [Errno 11002] getaddrinfo failed,,https://astro1.rastream.com/myfm
8FM,unreachable,,连接失败: [Errno 11002] getaddrinfo failed,,https://mediaprima.rastream.com/mediaprima-onefm
好FM,unreachable,,连接失败: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certific,,https://22283.live.streamtheworld.com/HAO_963AAC.aac
YES 933,unreachable,,连接失败: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certific,,https://22393.live.streamtheworld.com/YES933_PREM.aac
LOVE 972,unreachable,,连接失败: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certific,,https://14033.live.streamtheworld.com/LOVE972FM_PREM.aac
UFM 1003,unreachable,,连接失败: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certific,,https://22283.live.streamtheworld.com/UFM_1003AAC.aac
Radio France Internationale,reachable,200,MP3流,audio/mpeg,https://rfienchinois64k.ice.infomaniak.ch/rfienchinois-64.mp3
CNA 938,unreachable,,连接失败: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certific,,https://14033.live.streamtheworld.com/938NOW_PREM.aac
Eclectic24,unreachable,,"连接失败: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, c",,https://kcrw.streamguys1.com/kcrw_192k_mp3_on_air
VOCALO,reachable,200,HTTP 200 (audio/aac),audio/aac,https://stream.wbez.org/vocalolinear
WUNC,unreachable,,连接失败: timed out,,http://216.246.39.189/wunc-source
KJZZ,not_found,404,HTTP 404,,http://kjzz.streamguys1.com/kjzz_aac_high
WLRN,unreachable,,连接失败: timed out,,https://hls.wlrn.mobi/live/WLRNFMAAC/live/WLRNFMAAC256/playlist.m3u8
WBEZ,reachable,200,HTTP 200 (audio/aac),audio/aac,http://stream.wbez.org/wbezlinear
HPM News,not_found,404,HTTP 404,,http://stream.houstonpublicmedia.org/news-aac-256
MPR News,reachable,200,MP3流,audio/mpeg,http://nis.stream.publicradio.org/nis.mp3
KCRW News,not_found,404,HTTP 404,,http://kcrw.streamguys1.com/kcrw_192k_mp3_news
WOSU,reachable,200,HTTP 200 (audio/aac),audio/aac,http://wosu.streamguys1.com/NPR_256
KQED,reachable,200,m3u8 列表,application/vnd.apple.mpegurl,http://hls.kqed.org/kqed/256/playlist.m3u8
WAMU,unreachable,,连接失败: timed out,,http://hls-1.wamu.org/itunes/256/playlist.m3u8
KPBS,reachable,200,m3u8 列表,application/vnd.apple.mpegurl,http://kpbs-wowza.streamguys1.com/live/smil:kpbs.smil/live/kpbs256kaac.stream/playlist.m3u8
